station,date,total_case
9610,2019-01-14,0
9610,2019-01-21,2
9610,2019-01-28,0
9610,2019-02-04,1
9610,2019-02-11,1
9610,2019-02-18,2
9610,2019-02-25,2
9610,2019-03-04,0
9610,2019-03-11,0
9610,2019-03-18,1
9610,2019-03-25,0
9610,2019-04-01,1
9610,2019-04-08,0
9610,2019-04-15,1
9610,2019-04-22,1
9610,2019-04-29,1
9610,2019-05-06,1
9610,2019-05-13,1
9610,2019-05-20,2
9610,2019-05-27,1
9610,2019-06-03,2
9610,2019-06-10,4
9610,2019-06-17,1
9610,2019-06-24,8
9610,2019-07-01,5
9610,2019-07-08,2
9610,2019-07-15,2
9610,2019-07-22,2
9610,2019-07-29,2
9610,2019-08-05,4
9610,2019-08-12,1
9610,2019-08-19,1
9610,2019-08-26,0
9610,2019-09-02,1
9610,2019-09-09,0
9610,2019-09-16,5
9610,2019-09-23,0
9610,2019-09-30,11
9610,2019-10-07,4
9610,2019-10-14,2
9610,2019-10-21,3
9610,2019-10-28,4
9610,2019-11-04,5
9610,2019-11-11,1
9610,2019-11-18,9
9610,2019-11-25,4
9610,2019-12-02,4
9610,2019-12-09,2
9610,2019-12-16,1
9610,2019-12-23,2
9610,2019-12-30,1
9610,2020-01-06,0
9610,2020-01-13,1
9610,2020-01-20,3
9610,2020-01-27,1
9610,2020-02-03,1
9610,2020-02-10,0
9610,2020-02-17,1
9610,2020-02-24,0
9610,2020-03-02,0
9610,2020-03-09,0
9610,2020-03-16,0
9610,2020-03-23,0
9610,2020-03-30,0
9610,2020-04-06,0
9610,2020-04-13,0
9610,2020-04-20,0
9610,2020-04-27,1
9610,2020-05-04,0
9610,2020-05-11,0
9610,2020-05-18,0
9610,2020-05-25,0
9610,2020-06-01,0
9610,2020-06-08,0
9610,2020-06-15,0
9610,2020-06-22,0
9610,2020-06-29,1
9610,2020-07-06,0
9610,2020-07-13,1
9610,2020-07-20,0
9610,2020-07-27,0
9610,2020-08-03,1
9610,2020-08-10,2
9610,2020-08-17,0
9610,2020-08-24,0
9610,2020-08-31,1
9610,2020-09-07,0
9610,2020-09-14,0
9610,2020-09-21,2
9610,2020-09-28,0
9610,2020-10-05,0
9610,2020-10-12,0
9610,2020-10-19,0
9610,2020-10-26,0
9610,2020-11-02,0
9610,2020-11-09,0
9610,2020-11-16,0
9610,2020-11-23,0
9610,2020-11-30,0
9610,2020-12-07,0
9610,2020-12-14,0
9610,2020-12-21,0
9610,2020-12-28,0
9610,2021-01-04,0
9610,2021-01-11,0
9610,2021-01-18,0
9610,2021-01-25,2
9610,2021-02-01,0
9610,2021-02-08,1
9610,2021-02-15,1
9610,2021-02-22,0
9610,2021-03-01,0
9610,2021-03-08,0
9610,2021-03-15,1
9610,2021-03-22,0
9610,2021-03-29,0
9610,2021-04-05,0
9610,2021-04-12,0
9610,2021-04-19,1
9610,2021-04-26,0
9610,2021-05-03,0
9610,2021-05-10,0
9610,2021-05-17,1
9610,2021-05-24,0
9610,2021-05-31,0
9610,2021-06-07,0
9610,2021-06-14,0
9610,2021-06-21,0
9610,2021-06-28,0
9610,2021-07-05,0
9610,2021-07-12,0
9610,2021-07-19,0
9610,2021-07-26,0
9610,2021-08-02,0
9610,2021-08-09,0
9610,2021-08-16,0
9610,2021-08-23,0
9610,2021-08-30,0
9610,2021-09-06,0
9610,2021-09-13,0
9610,2021-09-20,0
9610,2021-09-27,0
9610,2021-10-04,0
9610,2021-10-11,0
9610,2021-10-18,0
9610,2021-10-25,0
9610,2021-11-01,0
9610,2021-11-08,0
9610,2021-11-15,0
9610,2021-11-22,0
9610,2021-11-29,0
9610,2021-12-06,0
9610,2021-12-13,0
9610,2021-12-20,0
9610,2021-12-27,0
9610,2022-01-03,0
9610,2022-01-10,0
9610,2022-01-17,2
9610,2022-01-24,0
9610,2022-01-31,0
9610,2022-02-07,0
9610,2022-02-14,0
9610,2022-02-21,0
9610,2022-02-28,0
9610,2022-03-07,1
9610,2022-03-14,0
9610,2022-03-21,0
9610,2022-03-28,0
9610,2022-04-04,0
9610,2022-04-11,1
9610,2022-04-18,1
9610,2022-04-25,0
9610,2022-05-02,0
9610,2022-05-09,0
9610,2022-05-16,1
9610,2022-05-23,1
9610,2022-05-30,1
9610,2022-06-06,0
9610,2022-06-13,5
9610,2022-06-20,1
9610,2022-06-27,0
9610,2022-07-04,3
9610,2022-07-11,3
9610,2022-07-18,2
9610,2022-07-25,0
9610,2022-08-01,2
9610,2022-08-08,2
9610,2022-08-15,0
9610,2022-08-22,1
9610,2022-08-29,1
9610,2022-09-05,4
9610,2022-09-12,1
9610,2022-09-19,1
9610,2022-09-26,5
9610,2022-10-03,1
9610,2022-10-10,2
9610,2022-10-17,5
9610,2022-10-24,3
9610,2022-10-31,3
9610,2022-11-07,4
9610,2022-11-14,2
9610,2022-11-21,3
9610,2022-11-28,0
9610,2022-12-05,1
9610,2022-12-12,2
9610,2022-12-19,3
9610,2022-12-26,3
9610,2023-01-02,1
9610,2023-01-09,4
9610,2023-01-16,1
9610,2023-01-23,0
9610,2023-01-30,0
9610,2023-02-06,0
9610,2023-02-13,0
9610,2023-02-20,0
9610,2023-02-27,1
9610,2023-03-06,0
9610,2023-03-13,2
9610,2023-03-20,0
9610,2023-03-27,4
9610,2023-04-03,1
9610,2023-04-10,0
9610,2023-04-17,2
9610,2023-04-24,1
9610,2023-05-01,0
9610,2023-05-08,1
9610,2023-05-15,1
9610,2023-05-22,0
9610,2023-05-29,1
9610,2023-06-05,0
9610,2023-06-12,0
9610,2023-06-19,0
9610,2023-06-26,1
9610,2023-07-03,2
9610,2023-07-10,2
9610,2023-07-17,2
9610,2023-07-24,0
9610,2023-07-31,2
9610,2023-08-07,2
9610,2023-08-14,1
9610,2023-08-21,2
9610,2023-08-28,2
9610,2023-09-04,2
9610,2023-09-11,2
9610,2023-09-18,2
9610,2023-09-25,1
9610,2023-10-02,1
9610,2023-10-09,1
9610,2023-10-16,1
9610,2023-10-23,0
9610,2023-10-30,0
9610,2023-11-06,1
9610,2023-11-13,0
9610,2023-11-20,0
9610,2023-11-27,1
9610,2023-12-04,1
9610,2023-12-11,0
9610,2023-12-18,1
9610,2023-12-25,2
9611,2019-01-07,2
9611,2019-01-14,6
9611,2019-01-21,1
9611,2019-01-28,5
9611,2019-02-04,1
9611,2019-02-11,4
9611,2019-02-18,2
9611,2019-02-25,0
9611,2019-03-04,1
9611,2019-03-11,2
9611,2019-03-18,0
9611,2019-03-25,0
9611,2019-04-01,0
9611,2019-04-08,0
9611,2019-04-15,0
9611,2019-04-22,1
9611,2019-04-29,0
9611,2019-05-06,1
9611,2019-05-13,0
9611,2019-05-20,2
9611,2019-05-27,3
9611,2019-06-03,1
9611,2019-06-10,2
9611,2019-06-17,0
9611,2019-06-24,5
9611,2019-07-01,7
9611,2019-07-08,5
9611,2019-07-15,4
9611,2019-07-22,12
9611,2019-07-29,3
9611,2019-08-05,5
9611,2019-08-12,4
9611,2019-08-19,1
9611,2019-08-26,7
9611,2019-09-02,5
9611,2019-09-09,7
9611,2019-09-16,2
9611,2019-09-23,5
9611,2019-09-30,6
9611,2019-10-07,10
9611,2019-10-14,7
9611,2019-10-21,14
9611,2019-10-28,7
9611,2019-11-04,3
9611,2019-11-11,4
9611,2019-11-18,6
9611,2019-11-25,3
9611,2019-12-02,3
9611,2019-12-09,1
9611,2019-12-16,8
9611,2019-12-23,2
9611,2019-12-30,2
9611,2020-01-06,5
9611,2020-01-13,3
9611,2020-01-20,0
9611,2020-01-27,0
9611,2020-02-03,0
9611,2020-02-10,1
9611,2020-02-17,1
9611,2020-02-24,0
9611,2020-03-02,0
9611,2020-03-09,0
9611,2020-03-16,1
9611,2020-03-23,0
9611,2020-03-30,0
9611,2020-04-06,0
9611,2020-04-13,1
9611,2020-04-20,1
9611,2020-04-27,0
9611,2020-05-04,0
9611,2020-05-11,0
9611,2020-05-18,0
9611,2020-05-25,0
9611,2020-06-01,0
9611,2020-06-08,0
9611,2020-06-15,0
9611,2020-06-22,0
9611,2020-06-29,0
9611,2020-07-06,0
9611,2020-07-13,0
9611,2020-07-20,1
9611,2020-07-27,0
9611,2020-08-03,0
9611,2020-08-10,2
9611,2020-08-17,3
9611,2020-08-24,1
9611,2020-08-31,1
9611,2020-09-07,0
9611,2020-09-14,2
9611,2020-09-21,0
9611,2020-09-28,1
9611,2020-10-05,0
9611,2020-10-12,0
9611,2020-10-19,0
9611,2020-10-26,0
9611,2020-11-02,0
9611,2020-11-09,0
9611,2020-11-16,0
9611,2020-11-23,0
9611,2020-11-30,0
9611,2020-12-07,0
9611,2020-12-14,0
9611,2020-12-21,0
9611,2020-12-28,0
9611,2021-01-04,4
9611,2021-01-11,0
9611,2021-01-18,0
9611,2021-01-25,0
9611,2021-02-01,0
9611,2021-02-08,0
9611,2021-02-15,0
9611,2021-02-22,0
9611,2021-03-01,0
9611,2021-03-08,1
9611,2021-03-15,0
9611,2021-03-22,1
9611,2021-03-29,0
9611,2021-04-05,0
9611,2021-04-12,0
9611,2021-04-19,0
9611,2021-04-26,0
9611,2021-05-03,0
9611,2021-05-10,0
9611,2021-05-17,0
9611,2021-05-24,1
9611,2021-05-31,0
9611,2021-06-07,0
9611,2021-06-14,0
9611,2021-06-21,0
9611,2021-06-28,0
9611,2021-07-05,0
9611,2021-07-12,0
9611,2021-07-19,0
9611,2021-07-26,0
9611,2021-08-02,0
9611,2021-08-09,0
9611,2021-08-16,0
9611,2021-08-23,0
9611,2021-08-30,0
9611,2021-09-06,0
9611,2021-09-13,0
9611,2021-09-20,0
9611,2021-09-27,0
9611,2021-10-04,0
9611,2021-10-11,0
9611,2021-10-18,0
9611,2021-10-25,0
9611,2021-11-01,0
9611,2021-11-08,0
9611,2021-11-15,0
9611,2021-11-22,0
9611,2021-11-29,0
9611,2021-12-06,0
9611,2021-12-13,0
9611,2021-12-20,0
9611,2021-12-27,0
9611,2022-01-03,0
9611,2022-01-10,0
9611,2022-01-17,0
9611,2022-01-24,0
9611,2022-01-31,0
9611,2022-02-07,0
9611,2022-02-14,0
9611,2022-02-21,0
9611,2022-02-28,0
9611,2022-03-07,0
9611,2022-03-14,0
9611,2022-03-21,0
9611,2022-03-28,0
9611,2022-04-04,0
9611,2022-04-11,1
9611,2022-04-18,0
9611,2022-04-25,0
9611,2022-05-02,1
9611,2022-05-09,0
9611,2022-05-16,0
9611,2022-05-23,0
9611,2022-05-30,0
9611,2022-06-06,1
9611,2022-06-13,2
9611,2022-06-20,0
9611,2022-06-27,5
9611,2022-07-04,2
9611,2022-07-11,3
9611,2022-07-18,1
9611,2022-07-25,0
9611,2022-08-01,0
9611,2022-08-08,2
9611,2022-08-15,0
9611,2022-08-22,3
9611,2022-08-29,3
9611,2022-09-05,3
9611,2022-09-12,1
9611,2022-09-19,4
9611,2022-09-26,3
9611,2022-10-03,3
9611,2022-10-10,2
9611,2022-10-17,2
9611,2022-10-24,4
9611,2022-10-31,0
9611,2022-11-07,0
9611,2022-11-14,2
9611,2022-11-21,3
9611,2022-11-28,2
9611,2022-12-05,3
9611,2022-12-12,0
9611,2022-12-19,2
9611,2022-12-26,2
9611,2023-01-02,1
9611,2023-01-09,1
9611,2023-01-16,1
9611,2023-01-23,0
9611,2023-01-30,2
9611,2023-02-06,1
9611,2023-02-13,1
9611,2023-02-20,4
9611,2023-02-27,2
9611,2023-03-06,2
9611,2023-03-13,2
9611,2023-03-20,1
9611,2023-03-27,3
9611,2023-04-03,2
9611,2023-04-10,2
9611,2023-04-17,2
9611,2023-04-24,0
9611,2023-05-01,0
9611,2023-05-08,0
9611,2023-05-15,0
9611,2023-05-22,0
9611,2023-05-29,0
9611,2023-06-05,1
9611,2023-06-12,0
9611,2023-06-19,3
9611,2023-06-26,0
9611,2023-07-03,0
9611,2023-07-10,0
9611,2023-07-17,1
9611,2023-07-24,3
9611,2023-07-31,1
9611,2023-08-07,1
9611,2023-08-14,1
9611,2023-08-21,7
9611,2023-08-28,5
9611,2023-09-04,2
9611,2023-09-11,0
9611,2023-09-18,1
9611,2023-09-25,6
9611,2023-10-02,2
9611,2023-10-09,3
9611,2023-10-16,2
9611,2023-10-23,2
9611,2023-10-30,3
9611,2023-11-06,2
9611,2023-11-13,3
9611,2023-11-20,1
9611,2023-11-27,3
9611,2023-12-04,4
9611,2023-12-11,2
9611,2023-12-18,1
9611,2023-12-25,1
9611,2024-01-01,1
9612,2019-01-07,2
9612,2019-01-14,0
9612,2019-01-21,0
9612,2019-01-28,0
9612,2019-02-04,0
9612,2019-02-11,0
9612,2019-02-18,0
9612,2019-02-25,0
9612,2019-03-04,0
9612,2019-03-11,0
9612,2019-03-18,0
9612,2019-03-25,2
9612,2019-04-01,0
9612,2019-04-08,1
9612,2019-04-15,0
9612,2019-04-22,0
9612,2019-04-29,0
9612,2019-05-06,0
9612,2019-05-13,1
9612,2019-05-20,0
9612,2019-05-27,0
9612,2019-06-03,1
9612,2019-06-10,0
9612,2019-06-17,4
9612,2019-06-24,0
9612,2019-07-01,1
9612,2019-07-08,2
9612,2019-07-15,2
9612,2019-07-22,2
9612,2019-07-29,0
9612,2019-08-05,1
9612,2019-08-12,4
9612,2019-08-19,4
9612,2019-08-26,3
9612,2019-09-02,1
9612,2019-09-09,0
9612,2019-09-16,1
9612,2019-09-23,2
9612,2019-09-30,2
9612,2019-10-07,7
9612,2019-10-14,4
9612,2019-10-21,2
9612,2019-10-28,3
9612,2019-11-04,4
9612,2019-11-11,5
9612,2019-11-18,2
9612,2019-11-25,2
9612,2019-12-02,1
9612,2019-12-09,2
9612,2019-12-16,0
9612,2019-12-23,1
9612,2019-12-30,0
9612,2020-01-06,2
9612,2020-01-13,0
9612,2020-01-20,1
9612,2020-01-27,1
9612,2020-02-03,1
9612,2020-02-10,1
9612,2020-02-17,0
9612,2020-02-24,2
9612,2020-03-02,1
9612,2020-03-09,1
9612,2020-03-16,0
9612,2020-03-23,1
9612,2020-03-30,0
9612,2020-04-06,0
9612,2020-04-13,0
9612,2020-04-20,0
9612,2020-04-27,0
9612,2020-05-04,0
9612,2020-05-11,0
9612,2020-05-18,0
9612,2020-05-25,0
9612,2020-06-01,0
9612,2020-06-08,1
9612,2020-06-15,1
9612,2020-06-22,0
9612,2020-06-29,0
9612,2020-07-06,1
9612,2020-07-13,0
9612,2020-07-20,0
9612,2020-07-27,1
9612,2020-08-03,2
9612,2020-08-10,1
9612,2020-08-17,0
9612,2020-08-24,0
9612,2020-08-31,0
9612,2020-09-07,1
9612,2020-09-14,0
9612,2020-09-21,0
9612,2020-09-28,0
9612,2020-10-05,0
9612,2020-10-12,0
9612,2020-10-19,0
9612,2020-10-26,0
9612,2020-11-02,0
9612,2020-11-09,2
9612,2020-11-16,0
9612,2020-11-23,0
9612,2020-11-30,0
9612,2020-12-07,0
9612,2020-12-14,0
9612,2020-12-21,0
9612,2020-12-28,0
9612,2021-01-04,0
9612,2021-01-11,0
9612,2021-01-18,0
9612,2021-01-25,0
9612,2021-02-01,0
9612,2021-02-08,0
9612,2021-02-15,0
9612,2021-02-22,1
9612,2021-03-01,0
9612,2021-03-08,0
9612,2021-03-15,0
9612,2021-03-22,0
9612,2021-03-29,0
9612,2021-04-05,0
9612,2021-04-12,0
9612,2021-04-19,0
9612,2021-04-26,0
9612,2021-05-03,0
9612,2021-05-10,0
9612,2021-05-17,0
9612,2021-05-24,0
9612,2021-05-31,0
9612,2021-06-07,1
9612,2021-06-14,0
9612,2021-06-21,0
9612,2021-06-28,0
9612,2021-07-05,0
9612,2021-07-12,0
9612,2021-07-19,0
9612,2021-07-26,0
9612,2021-08-02,0
9612,2021-08-09,0
9612,2021-08-16,0
9612,2021-08-23,0
9612,2021-08-30,0
9612,2021-09-06,0
9612,2021-09-13,0
9612,2021-09-20,0
9612,2021-09-27,0
9612,2021-10-04,0
9612,2021-10-11,0
9612,2021-10-18,0
9612,2021-10-25,0
9612,2021-11-01,0
9612,2021-11-08,0
9612,2021-11-15,0
9612,2021-11-22,0
9612,2021-11-29,0
9612,2021-12-06,0
9612,2021-12-13,0
9612,2021-12-20,0
9612,2021-12-27,0
9612,2022-01-03,0
9612,2022-01-10,0
9612,2022-01-17,0
9612,2022-01-24,0
9612,2022-01-31,0
9612,2022-02-07,0
9612,2022-02-14,0
9612,2022-02-21,0
9612,2022-02-28,0
9612,2022-03-07,0
9612,2022-03-14,0
9612,2022-03-21,0
9612,2022-03-28,0
9612,2022-04-04,0
9612,2022-04-11,0
9612,2022-04-18,0
9612,2022-04-25,0
9612,2022-05-02,0
9612,2022-05-09,0
9612,2022-05-16,0
9612,2022-05-23,0
9612,2022-05-30,0
9612,2022-06-06,0
9612,2022-06-13,0
9612,2022-06-20,0
9612,2022-06-27,0
9612,2022-07-04,1
9612,2022-07-11,0
9612,2022-07-18,0
9612,2022-07-25,0
9612,2022-08-01,0
9612,2022-08-08,0
9612,2022-08-15,0
9612,2022-08-22,0
9612,2022-08-29,0
9612,2022-09-05,0
9612,2022-09-12,1
9612,2022-09-19,0
9612,2022-09-26,0
9612,2022-10-03,0
9612,2022-10-10,2
9612,2022-10-17,0
9612,2022-10-24,0
9612,2022-10-31,0
9612,2022-11-07,1
9612,2022-11-14,1
9612,2022-11-21,2
9612,2022-11-28,0
9612,2022-12-05,0
9612,2022-12-12,1
9612,2022-12-19,0
9612,2022-12-26,1
9612,2023-01-02,0
9612,2023-01-09,0
9612,2023-01-16,0
9612,2023-01-23,0
9612,2023-01-30,1
9612,2023-02-06,0
9612,2023-02-13,1
9612,2023-02-20,2
9612,2023-02-27,1
9612,2023-03-06,0
9612,2023-03-13,3
9612,2023-03-20,1
9612,2023-03-27,2
9612,2023-04-03,3
9612,2023-04-10,3
9612,2023-04-17,2
9612,2023-04-24,1
9612,2023-05-01,1
9612,2023-05-08,0
9612,2023-05-15,0
9612,2023-05-22,0
9612,2023-05-29,0
9612,2023-06-05,0
9612,2023-06-12,1
9612,2023-06-19,1
9612,2023-06-26,1
9612,2023-07-03,2
9612,2023-07-10,2
9612,2023-07-17,2
9612,2023-07-24,7
9612,2023-07-31,1
9612,2023-08-07,7
9612,2023-08-14,6
9612,2023-08-21,1
9612,2023-08-28,1
9612,2023-09-04,5
9612,2023-09-11,6
9612,2023-09-18,3
9612,2023-09-25,6
9612,2023-10-02,3
9612,2023-10-09,3
9612,2023-10-16,3
9612,2023-10-23,5
9612,2023-10-30,7
9612,2023-11-06,7
9612,2023-11-13,2
9612,2023-11-20,3
9612,2023-11-27,4
9612,2023-12-04,4
9612,2023-12-11,1
9613,2019-01-14,1
9613,2019-01-21,1
9613,2019-01-28,1
9613,2019-02-04,0
9613,2019-02-11,0
9613,2019-02-18,0
9613,2019-02-25,3
9613,2019-03-04,0
9613,2019-03-11,5
9613,2019-03-18,2
9613,2019-03-25,1
9613,2019-04-01,1
9613,2019-04-08,1
9613,2019-04-15,0
9613,2019-04-22,4
9613,2019-04-29,3
9613,2019-05-06,0
9613,2019-05-13,1
9613,2019-05-20,1
9613,2019-05-27,1
9613,2019-06-03,1
9613,2019-06-10,0
9613,2019-06-17,1
9613,2019-06-24,6
9613,2019-07-01,7
9613,2019-07-08,0
9613,2019-07-15,3
9613,2019-07-22,5
9613,2019-07-29,5
9613,2019-08-05,5
9613,2019-08-12,1
9613,2019-08-19,3
9613,2019-08-26,4
9613,2019-09-02,1
9613,2019-09-09,7
9613,2019-09-16,4
9613,2019-09-23,5
9613,2019-09-30,4
9613,2019-10-07,4
9613,2019-10-14,2
9613,2019-10-21,5
9613,2019-10-28,10
9613,2019-11-04,7
9613,2019-11-11,2
9613,2019-11-18,2
9613,2019-11-25,3
9613,2019-12-02,4
9613,2019-12-09,1
9613,2019-12-16,2
9613,2019-12-23,4
9613,2019-12-30,0
9613,2020-01-06,2
9613,2020-01-13,3
9613,2020-01-20,1
9613,2020-01-27,0
9613,2020-02-03,0
9613,2020-02-10,0
9613,2020-02-17,1
9613,2020-02-24,0
9613,2020-03-02,1
9613,2020-03-09,0
9613,2020-03-16,0
9613,2020-03-23,0
9613,2020-03-30,0
9613,2020-04-06,0
9613,2020-04-13,0
9613,2020-04-20,0
9613,2020-04-27,0
9613,2020-05-04,0
9613,2020-05-11,0
9613,2020-05-18,0
9613,2020-05-25,0
9613,2020-06-01,0
9613,2020-06-08,0
9613,2020-06-15,0
9613,2020-06-22,0
9613,2020-06-29,1
9613,2020-07-06,0
9613,2020-07-13,2
9613,2020-07-20,0
9613,2020-07-27,0
9613,2020-08-03,3
9613,2020-08-10,2
9613,2020-08-17,0
9613,2020-08-24,0
9613,2020-08-31,1
9613,2020-09-07,1
9613,2020-09-14,1
9613,2020-09-21,4
9613,2020-09-28,0
9613,2020-10-05,0
9613,2020-10-12,0
9613,2020-10-19,0
9613,2020-10-26,0
9613,2020-11-02,4
9613,2020-11-09,1
9613,2020-11-16,0
9613,2020-11-23,0
9613,2020-11-30,0
9613,2020-12-07,0
9613,2020-12-14,0
9613,2020-12-21,0
9613,2020-12-28,0
9613,2021-01-04,0
9613,2021-01-11,0
9613,2021-01-18,1
9613,2021-01-25,0
9613,2021-02-01,0
9613,2021-02-08,0
9613,2021-02-15,1
9613,2021-02-22,0
9613,2021-03-01,0
9613,2021-03-08,1
9613,2021-03-15,0
9613,2021-03-22,0
9613,2021-03-29,0
9613,2021-04-05,0
9613,2021-04-12,0
9613,2021-04-19,0
9613,2021-04-26,0
9613,2021-05-03,0
9613,2021-05-10,0
9613,2021-05-17,0
9613,2021-05-24,0
9613,2021-05-31,0
9613,2021-06-07,0
9613,2021-06-14,0
9613,2021-06-21,1
9613,2021-06-28,0
9613,2021-07-05,0
9613,2021-07-12,0
9613,2021-07-19,0
9613,2021-07-26,0
9613,2021-08-02,1
9613,2021-08-09,0
9613,2021-08-16,0
9613,2021-08-23,0
9613,2021-08-30,0
9613,2021-09-06,0
9613,2021-09-13,0
9613,2021-09-20,0
9613,2021-09-27,0
9613,2021-10-04,0
9613,2021-10-11,0
9613,2021-10-18,0
9613,2021-10-25,0
9613,2021-11-01,0
9613,2021-11-08,0
9613,2021-11-15,0
9613,2021-11-22,0
9613,2021-11-29,0
9613,2021-12-06,0
9613,2021-12-13,0
9613,2021-12-20,0
9613,2021-12-27,0
9613,2022-01-03,0
9613,2022-01-10,0
9613,2022-01-17,0
9613,2022-01-24,0
9613,2022-01-31,0
9613,2022-02-07,1
9613,2022-02-14,0
9613,2022-02-21,1
9613,2022-02-28,1
9613,2022-03-07,0
9613,2022-03-14,0
9613,2022-03-21,0
9613,2022-03-28,0
9613,2022-04-04,0
9613,2022-04-11,0
9613,2022-04-18,0
9613,2022-04-25,0
9613,2022-05-02,1
9613,2022-05-09,0
9613,2022-05-16,0
9613,2022-05-23,1
9613,2022-05-30,0
9613,2022-06-06,2
9613,2022-06-13,2
9613,2022-06-20,0
9613,2022-06-27,2
9613,2022-07-04,5
9613,2022-07-11,3
9613,2022-07-18,2
9613,2022-07-25,1
9613,2022-08-01,2
9613,2022-08-08,1
9613,2022-08-15,4
9613,2022-08-22,4
9613,2022-08-29,0
9613,2022-09-05,1
9613,2022-09-12,2
9613,2022-09-19,6
9613,2022-09-26,7
9613,2022-10-03,3
9613,2022-10-10,2
9613,2022-10-17,7
9613,2022-10-24,4
9613,2022-10-31,8
9613,2022-11-07,5
9613,2022-11-14,3
9613,2022-11-21,1
9613,2022-11-28,3
9613,2022-12-05,1
9613,2022-12-12,2
9613,2022-12-19,2
9613,2022-12-26,4
9613,2023-01-02,2
9613,2023-01-09,2
9613,2023-01-16,0
9613,2023-01-23,3
9613,2023-01-30,3
9613,2023-02-06,3
9613,2023-02-13,9
9613,2023-02-20,4
9613,2023-02-27,6
9613,2023-03-06,13
9613,2023-03-13,4
9613,2023-03-20,7
9613,2023-03-27,8
9613,2023-04-03,9
9613,2023-04-10,7
9613,2023-04-17,13
9613,2023-04-24,9
9613,2023-05-01,10
9613,2023-05-08,5
9613,2023-05-15,0
9613,2023-05-22,7
9613,2023-05-29,5
9613,2023-06-05,4
9613,2023-06-12,2
9613,2023-06-19,3
9613,2023-06-26,4
9613,2023-07-03,2
9613,2023-07-10,2
9613,2023-07-17,5
9613,2023-07-24,3
9613,2023-07-31,1
9613,2023-08-07,4
9613,2023-08-14,5
9613,2023-08-21,4
9613,2023-08-28,4
9613,2023-09-04,5
9613,2023-09-11,4
9613,2023-09-18,5
9613,2023-09-25,6
9613,2023-10-02,7
9613,2023-10-09,6
9613,2023-10-16,8
9613,2023-10-23,7
9613,2023-10-30,7
9613,2023-11-06,12
9613,2023-11-13,7
9613,2023-11-20,6
9613,2023-11-27,2
9613,2023-12-04,3
9613,2023-12-11,2
9613,2023-12-18,2
9613,2023-12-25,1
9613,2024-01-01,1
